"","id","mus1.1listentorecordedmusic_times","mus1.2singaloneorwithothers_times","mus1.3lookatbooks_times","mus1.4playwithmusicalinstruments_times","mus1.5makepaintingsordrawings_times","mus2.1dophysicalexercise_times","mus2.2danceormovetomusic_times","mus2.3attendmusicclasseslessons_times","mus3.1Ireadbookstomybaby_times","mus3.2isangtomybaby_times","mus3.3iplayedmusicalinstrumentswithmybaby_times","mus3.4iplayedrecordedmusicformybaby_times","mus3.5imadepaintingsordrawingswithmybaby_times","mus4.1itookmybabytoconcertstohearlivemusic_times","mus4.2itookmybabytoartmuseums_times","mus4.3itookmybabytomusicclasses_times","mus5.1isanglullabiesorothersongs_times","mus5.2iplayedrecordedmusic_times","mus5.3ispokerhymesorpoemstomybaby_times","mus5.4imadecooingorshushingsounds_times","mus5.5irubbedmybaby.sback_times"
"63",560,75,15,270,4,75,6,6,6,75,180,15,180,4,0.5,0.17,0.17,0,1,0,0.5,0.5
"64",562,180,75,75,1,4,0,6,0,75,75,1,75,0.75,0,0,0,6,0,0.17,0.5,0.17
"65",565,75,75,75,15,15,6,6,0,75,75,15,75,1,0,0,4,4,0,0,4,4
"66",568,75,0.75,15,1,1,6,6,0,75,75,1,75,0.75,0,0,0,0,0,0,0.17,0.17
"67",569,15,15,75,15,15,6,6,0,75,180,15,75,15,0,0,0,6,0.17,0.17,4,1
"68",571,75,75,270,15,15,6,6,0,270,270,15,180,0.75,0,0.17,0,6,0.5,6,6,6
"69",572,75,0.75,15,1,1,4,6,0,1,0.75,0.75,15,4,0,0,0,0.17,0.17,0.17,0.5,0.17
"70",574,75,75,75,75,15,6,6,4,75,75,15,75,4,0,1,4,4,6,1.5,4,4
"71",576,75,75,75,15,4,4,6,4,75,75,1,4,0.75,0.17,0,0,6,0.17,1,6,1.5
"72",577,4,4,15,4,4,4,4,4,4,4,1,4,0.75,0,0,0,0.17,0.17,0.17,0.5,0.5
"73",578,75,15,75,15,4,6,6,0,75,75,4,75,0.75,0.17,0.17,0,4,0.17,0,1.5,0
"74",579,15,180,180,15,15,6,6,0.17,75,75,1,15,0.75,1,0.5,4,4,0,0.5,4,1.5
